#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
7.0%	140000	1399.9999999988718	409.02873375574563	1618.9396897892784	2027.968423545024	463.60402181689733	2e+04	1:20
7.0%	141000	1409.9999999988627	454.58329407544807	1600.886764357418	2055.470058432866	458.4343364428483	2e+04	1:20
7.1%	142000	1419.9999999988536	464.13661317056506	1622.3665171574012	2086.503130327966	464.5853375261568	2e+04	1:20
7.2%	143000	1429.9999999988445	379.96723104060993	1744.6808083692092	2124.648039409819	499.61159433431385	2e+04	1:20
7.2%	144000	1439.9999999988354	471.08548660902125	1627.970093291139	2099.0555799001604	466.1899929982183	2e+04	1:20
7.2%	145000	1449.9999999988263	417.82185271417984	1691.0855957740969	2108.9074484882767	484.2639218632907	2e+04	1:20
7.3%	146000	1459.9999999988172	542.5422810074551	1578.9734231720465	2121.515704179502	452.1591717970879	2e+04	1:20
7.3%	147000	1469.999999998808	480.9645707319869	1781.5146540971978	2262.4792248291847	510.1594356938035	2e+04	1:20
7.4%	148000	1479.999999998799	496.6041774945552	1735.132270199943	2231.736447694498	496.87724868471145	2e+04	1:20
7.5%	149000	1489.99999999879	420.4013080148392	1803.4810175979646	2223.882325612804	516.4497839556174	2e+04	1:19
7.5%	150000	1499.9999999987808	476.4018273457924	1803.2820299234563	2279.6838572692486	516.3928012979088	2e+04	1:19
7.5%	151000	1509.9999999987717	483.6707438889571	1834.9995827067598	2318.6703265957167	525.4755269394324	2e+04	1:19
7.6%	152000	1519.9999999987626	509.05821915018896	1822.8968342318383	2331.9550533820275	522.0097506023642	2e+04	1:19
7.7%	153000	1529.9999999987535	364.52025205034954	1885.8581239125413	2250.378375962891	540.039518665282	2e+04	1:19
7.7%	154000	1539.9999999987444	365.05395068869984	1881.9408428731674	2246.9947935618675	538.9177552939254	2e+04	1:19
7.8%	155000	1549.9999999987353	466.09267088236265	1760.6388588828727	2226.7315297652353	504.18138556566885	2e+04	1:19
7.8%	156000	1559.9999999987263	463.07192745916836	1777.2453270044384	2240.317254463607	508.9368594464371	2e+04	1:19
7.8%	157000	1569.9999999987172	539.4840054367978	1739.6618916869845	2279.1458971237826	498.17436355066053	2e+04	1:19
7.9%	158000	1579.999999998708	500.16178583475994	1710.2185572931937	2210.380343127954	489.7428893414898	2e+04	1:19
8.0%	159000	1589.999999998699	562.808568881148	1671.5897092974144	2234.3982781785626	478.6810261961568	2e+04	1:19
8.0%	160000	1599.9999999986899	421.70094357266237	1771.5085648350641	2193.2095084077264	507.29406445493555	2e+04	1:19
8.1%	161000	1609.9999999986808	420.7211551542483	1892.127760900508	2312.8489160547565	541.8349091552957	2e+04	1:19
8.1%	162000	1619.9999999986717	487.72559622343397	1747.5990728710797	2235.3246690945134	500.4472765825937	2e+04	1:19
8.2%	163000	1629.9999999986626	504.84570499318033	1725.6597153108528	2230.505420304033	494.164661816182	2e+04	1:19
8.2%	164000	1639.9999999986535	406.52038059912593	1857.5312666665611	2264.0516472656873	531.927761922584	2e+04	1:19
8.2%	165000	1649.9999999986444	457.0962279674068	1809.8187080412445	2266.9149360086512	518.2646624202483	2e+04	1:19
8.3%	166000	1659.9999999986353	533.0923866899975	1766.1306315859447	2299.223018275942	505.7540246998541	2e+04	1:19
8.3%	167000	1669.9999999986262	523.659523190379	1782.6571781105406	2306.3167013009197	510.4866120123216	2e+04	1:19
8.4%	168000	1679.999999998617	487.93704146669097	1731.7815551178342	2219.718596584525	495.9177286989914	2e+04	1:19
8.4%	169000	1689.999999998608	488.1020174037234	1716.0188465268943	2204.120863930618	491.40387611783774	2e+04	1:19
8.5%	170000	1699.999999998599	396.1047149745027	1852.106635512924	2248.211350487427	530.3743496271409	2e+04	1:19
8.6%	171000	1709.9999999985898	396.7309516605719	1785.6661558186208	2182.3971074791925	511.3482711438022	2e+04	1:19
8.6%	172000	1719.9999999985807	435.26636806766874	1738.4204429102706	2173.6868109779393	497.8188588648503	2e+04	1:19
8.7%	173000	1729.9999999985716	437.3261655588934	1680.2826642816067	2117.6088298405	481.1703646919406	2e+04	1:19
8.7%	174000	1739.9999999985625	427.43899451202014	1750.1357466062511	2177.574741118271	501.17368544950824	2e+04	1:18
8.8%	175000	1749.9999999985534	421.1983106382104	1798.5254083671111	2219.7237190053215	515.0306820678406	2e+04	1:18
8.8%	176000	1759.9999999985444	433.39140777756984	1864.2507401655362	2297.642147943106	533.8519688329861	2e+04	1:18
8.8%	177000	1769.9999999985353	391.76389043114614	1873.3965777629094	2265.1604681940553	536.4709960393537	2e+04	1:18
8.9%	178000	1779.9999999985262	424.81774756651646	1866.1845448154295	2291.002292381946	534.4057384506892	2e+04	1:18
8.9%	179000	1789.999999998517	470.30646643720684	1867.7345022399613	2338.040968677168	534.8495885213187	2e+04	1:18
9.0%	180000	1799.999999998508	532.5353144259461	1851.5566809864388	2384.0919954123847	530.2168631365057	2e+04	1:18
9.1%	181000	1809.9999999984989	528.6315581387007	1881.9940039221872	2410.625562060888	538.9329786381211	2e+04	1:18
9.1%	182000	1819.9999999984898	629.3895205393155	1729.4463730279906	2358.835893567306	495.24901953375553	2e+04	1:18
9.2%	183000	1829.9999999984807	524.821458938095	1812.717394162538	2337.538853100633	519.0947381496237	2e+04	1:18
9.2%	184000	1839.9999999984716	574.2761648519227	1789.3169898551566	2363.5931547070795	512.3937340186696	2e+04	1:18
9.2%	185000	1849.9999999984625	539.0388894311291	1811.7586861578654	2350.7975755889947	518.8201998888611	2e+04	1:18
9.3%	186000	1859.9999999984534	468.4122245422841	1872.3406724369395	2340.752896979224	536.1686240863619	2e+04	1:18
9.3%	187000	1869.9999999984443	584.5365431448608	1741.5549686177342	2326.091511762595	498.71647026670416	2e+04	1:18
9.4%	188000	1879.9999999984352	562.4617368241888	1744.133768740844	2306.595505565033	499.4549425619206	2e+04	1:18
9.4%	189000	1889.9999999984261	469.85224521859163	1833.4150724113745	2303.267317629966	525.0217822136813	2e+04	1:18
9.5%	190000	1899.999999998417	518.8944202251769	1701.0482568239054	2219.9426770490822	487.1168568798452	2e+04	1:18
9.6%	191000	1909.999999998408	480.4380620435986	1761.9661219033899	2242.4041839469883	504.56146425433246	2e+04	1:18
9.6%	192000	1919.9999999983988	525.5152651641984	1666.0399744238666	2191.555239588065	477.0917888554322	2e+04	1:18
9.7%	193000	1929.9999999983897	478.3897040879988	1688.219096398698	2166.608800486697	483.44306321898654	2e+04	1:18
9.7%	194000	1939.9999999983806	461.8290750386277	1655.6343388059404	2117.463413844568	474.1120024233263	2e+04	1:18
9.8%	195000	1949.9999999983715	459.6146557651715	1707.1301954470268	2166.7448512121982	488.85849754991216	2e+04	1:17
9.8%	196000	1959.9999999983625	374.384767228692	1774.5938565962585	2148.978623824951	508.1775770885374	2e+04	1:17
9.8%	197000	1969.9999999983534	450.8949115714786	1737.6307326522058	2188.525644223684	497.59271526356736	2e+04	1:17
9.9%	198000	1979.9999999983443	406.9973833279655	1788.836461243314	2195.8338445712798	512.2561285238799	2e+04	1:17
9.9%	199000	1989.9999999983352	408.1698054937988	1841.450045628257	2249.6198511220555	527.3226992410614	2e+04	1:17
10.0%	200000	1999.999999998326	392.4206682489239	1801.4368887751418	2193.8575570240655	515.8644216043515	2e+04	1:17
10.1%	201000	2009.999999998317	445.1136058541306	1741.2274191387066	2186.3410249928374	498.62267229709545	2e+04	1:17
10.1%	202000	2019.9999999983079	378.1613578223514	1816.1392024897614	2194.300560312113	520.0746165925284	2e+04	1:17
10.2%	203000	2029.9999999982988	433.4401247099289	1712.7783920390627	2146.2185167489915	490.4759306591228	2e+04	1:17
10.2%	204000	2039.9999999982897	375.9658939102519	1707.2300805382315	2083.1959744484834	488.88710091932376	2e+04	1:17
10.2%	205000	2049.999999998326	379.0255298094562	1714.1114808322022	2093.1370106416584	490.85767763205604	2e+04	1:17
10.3%	206000	2059.9999999985444	405.715794064874	1724.4988378537341	2130.214631918608	493.83222975503037	2e+04	1:17
10.3%	207000	2069.9999999987626	411.93920061199424	1748.4963385246629	2160.435539136657	500.70422004272564	2e+04	1:17
10.4%	208000	2079.999999998981	469.166594902581	1688.5014465610134	2157.6680414635944	483.5239177879589	2e+04	1:17
10.4%	209000	2089.999999999199	455.50597314538027	1715.856671751454	2171.3626448968344	491.35743530314556	2e+04	1:17
10.5%	210000	2099.9999999994175	516.9692326534023	1706.7032121281134	2223.672444781516	488.73622543246057	2e+04	1:17
10.6%	211000	2109.9999999996357	397.0053913477544	1752.4603686353894	2149.465759983144	501.83937060671934	2e+04	1:17
10.6%	212000	2119.999999999854	448.77437972409825	1692.0566313948675	2140.8310111189658	484.54199029410125	2e+04	1:17
10.7%	213000	2130.0000000000723	394.0882089441776	1829.9338523756821	2224.02206131986	524.0248904705511	2e+04	1:17
10.7%	214000	2140.0000000002906	549.7118790508734	1693.4624266950193	2243.1743057458925	484.9445577023329	2e+04	1:17
10.8%	215000	2150.000000000509	383.5819449365663	1876.9634529793234	2260.5453979158897	537.4924162355958	2e+04	1:17
10.8%	216000	2160.000000000727	518.5596499613966	1754.5071010423771	2273.066751003774	502.42547852750675	2e+04	1:17
10.8%	217000	2170.0000000009454	471.1425423064411	1728.6718227836507	2199.814365090092	495.0272171956944	2e+04	1:17
10.9%	218000	2180.0000000011637	527.4699028130563	1720.04762772152	2247.5175305345765	492.5575689802889	2e+04	1:17
10.9%	219000	2190.000000001382	501.8487303992297	1662.6737567982045	2164.522487197434	476.1278295187067	2e+04	1:17
11.0%	220000	2200.0000000016003	458.22789202701824	1775.0889625707432	2233.3168545977614	508.3193569969826	2e+04	1:16
